Date,Time,Open,High,Low,Close
2021-05-19,08:45:00,1.41715,1.41821,1.41674,1.41821
2021-05-19,09:00:00,1.41823,1.41874,1.4178,1.41815
2021-05-19,09:15:00,1.41814,1.41858,1.41657,1.41675
2021-05-19,09:30:00,1.41676,1.41722,1.41639,1.41668
2021-05-19,09:45:00,1.41662,1.41732,1.41642,1.41646
2021-05-19,10:00:00,1.41649,1.41704,1.41523,1.41577
2021-05-19,10:15:00,1.41577,1.41622,1.41534,1.41588
2021-05-19,10:30:00,1.41593,1.41645,1.41577,1.41618
2021-05-19,10:45:00,1.41621,1.41654,1.41587,1.41595
2021-05-19,11:00:00,1.41595,1.41627,1.41438,1.41507
2021-05-19,11:15:00,1.41505,1.41511,1.41414,1.41476
2021-05-19,11:30:00,1.41473,1.41509,1.41426,1.41477
2021-05-19,11:45:00,1.41477,1.4156,1.41457,1.41546
2021-05-19,12:00:00,1.41547,1.41635,1.41524,1.41627
2021-05-19,12:15:00,1.41626,1.41664,1.41595,1.41633
2021-05-19,12:30:00,1.41628,1.4166,1.41525,1.41547
2021-05-19,12:45:00,1.41556,1.4159,1.41465,1.41502
2021-05-19,13:00:00,1.41504,1.41616,1.41454,1.4157
2021-05-19,13:15:00,1.41569,1.41587,1.41474,1.41532
2021-05-19,13:30:00,1.41536,1.41745,1.41506,1.41708
2021-05-19,13:45:00,1.41705,1.41805,1.4166,1.41753
2021-05-19,14:00:00,1.41751,1.41751,1.41431,1.41511
2021-05-19,14:15:00,1.41510,1.41621,1.41411,1.41589
2021-05-19,14:30:00,1.41587,1.4166,1.41375,1.41407
2021-05-19,14:45:00,1.41409,1.41478,1.41299,1.41447
2021-05-19,15:00:00,1.41445,1.41548,1.41413,1.41518
2021-05-19,15:15:00,1.41517,1.41622,1.41466,1.4156
2021-05-19,15:30:00,1.41561,1.41618,1.41523,1.4159
2021-05-19,15:45:00,1.41589,1.41699,1.4155,1.41678
2021-05-19,16:00:00,1.41678,1.41707,1.41619,1.41664
2021-05-19,16:15:00,1.41661,1.41686,1.41619,1.41629
2021-05-19,16:30:00,1.41631,1.41679,1.41612,1.41621
2021-05-19,16:45:00,1.41616,1.4164,1.41575,1.41578
2021-05-19,17:00:00,1.41578,1.41667,1.41568,1.41623
2021-05-19,17:15:00,1.41622,1.41625,1.41541,1.4155
2021-05-19,17:30:00,1.41550,1.41564,1.41513,1.41527
2021-05-19,17:45:00,1.41527,1.41586,1.41503,1.41513
2021-05-19,18:00:00,1.41521,1.41583,1.41091,1.41221
2021-05-19,18:15:00,1.41221,1.41338,1.41082,1.41254
2021-05-19,18:30:00,1.41254,1.41274,1.41108,1.41119
2021-05-19,18:45:00,1.41120,1.4113,1.41043,1.41049
2021-05-19,19:00:00,1.41050,1.41124,1.40995,1.41101
2021-05-19,19:15:00,1.41099,1.41142,1.4106,1.41127
2021-05-19,19:30:00,1.41126,1.41162,1.41099,1.41128
2021-05-19,19:45:00,1.41127,1.41191,1.4106,1.4119
2021-05-19,20:00:00,1.41189,1.41245,1.41167,1.4124
2021-05-19,20:15:00,1.41240,1.41253,1.41212,1.41221
