Date,Time,Open,High,Low,Close,Volume,
2019-08-29 ,"10:30:00	",1.22006,1.22185,1.21982,1.21992,"	5710",
2019-08-29 ,"11:00:00	",1.21995,1.22061,1.21900,1.22047,"	4646",
2019-08-29 ,"11:30:00	",1.22046,1.22201,1.22036,1.22179,"	5694",
2019-08-29 ,"12:00:00	",1.22178,1.22321,1.22086,1.22195,"	7634",
2019-08-29 ,"12:30:00	",1.22202,1.22216,1.22012,1.22041,"	8731",
2019-08-29 ,"13:00:00	",1.22043,1.22134,1.21882,1.21926,"	9914",
2019-08-29 ,"13:30:00	",1.21925,1.22054,1.21880,1.21946,"	7975",
2019-08-29 ,"14:00:00	",1.21946,1.22014,1.21885,1.21910,"	7232",
2019-08-29 ,"14:30:00	",1.2191,1.22101,1.21908,1.22054,"	10756",
2019-08-29 ,"15:00:00	",1.22055,1.22055,1.21895,1.21926,"	6272",
2019-08-29 ,"15:30:00	",1.2193,1.21994,1.21894,1.21952,"	3571",
2019-08-29 ,"16:00:00	",1.21952,1.22055,1.21951,1.22022,"	2936",
2019-08-29 ,"16:30:00	",1.22022,1.22052,1.21934,1.21974,"	4360",
2019-08-29 ,"17:00:00	",1.21974,1.21980,1.21783,1.21875,"	4174",
2019-08-29 ,"17:30:00	",1.21875,1.21983,1.21865,1.21921,"	2856",
2019-08-29 ,"18:00:00	",1.2192,1.21920,1.21807,1.21819,"	4002",
2019-08-29 ,"18:30:00	",1.21817,1.21850,1.21747,1.21763,"	2095",
2019-08-29 ,"19:00:00	",1.21762,1.21793,1.21719,1.21789,"	1704",
2019-08-29 ,"19:30:00	",1.21788,1.21823,1.21774,1.21799,"	1642",
2019-08-29 ,"20:00:00	",1.21798,1.21822,1.21786,1.21809,"	886",
2019-08-29 ,"20:30:00	",1.21808,1.21838,1.21784,1.21784,"	591",
2019-08-29 ,"21:00:00	",1.21784,1.21842,1.21758,1.21815,"	310",
2019-08-29 ,"21:30:00	",1.21815,1.21822,1.21792,1.21821,"	216",
2019-08-29 ,"22:00:00	",1.21821,1.21850,1.21811,1.21835,"	278",
2019-08-29 ,"22:30:00	",1.21834,1.21841,1.21815,1.21834,"	774",
2019-08-29 ,"23:00:00	",1.21834,1.21847,1.21820,1.21840,"	910",
2019-08-29 ,"23:30:00	",1.21839,1.21854,1.21815,1.21831,"	900",
2019-08-30 ,"00:00:00	",1.21834,1.21864,1.21820,1.21851,"	1916",
2019-08-30 ,"00:30:00	",1.21854,1.21862,1.21793,1.21804,"	2120",
2019-08-30 ,"01:00:00	",1.21805,1.21835,1.21789,1.21832,"	1929",
2019-08-30 ,"01:30:00	",1.21831,1.21832,1.21782,1.21828,"	2349",
2019-08-30 ,"02:00:00	",1.21827,1.21835,1.21810,1.21821,"	1384",
2019-08-30 ,"02:30:00	",1.2182,1.21822,1.21774,1.21780,"	2025",
2019-08-30 ,"03:00:00	",1.2178,1.21818,1.21777,1.21811,"	1603",
2019-08-30 ,"03:30:00	",1.21811,1.21812,1.21744,1.21753,"	1284",
2019-08-30 ,"04:00:00	",1.21753,1.21782,1.21749,1.21769,"	965",
2019-08-30 ,"04:30:00	",1.21769,1.21832,1.21743,1.21830,"	1034",
2019-08-30 ,"05:00:00	",1.2183,1.21852,1.21811,1.21829,"	1106",
2019-08-30 ,"05:30:00	",1.21829,1.21889,1.21829,1.21864,"	2127",
2019-08-30 ,"06:00:00	",1.21867,1.21912,1.21770,1.21781,"	4000",
2019-08-30 ,"06:30:00	",1.21781,1.21793,1.21710,1.21719,"	4107",
2019-08-30 ,"07:00:00	",1.2172,1.21875,1.21638,1.21833,"	8306",
2019-08-30 ,"07:30:00	",1.21832,1.21900,1.21695,1.21759,"	7088",
2019-08-30 ,"08:00:00	",1.21758,1.21783,1.21667,1.21727,"	5004",
2019-08-30 ,"08:30:00	",1.21728,1.21767,1.21686,1.21687,"	3325",
2019-08-30 ,"09:00:00	",1.21694,1.21886,1.21577,1.21820,"	7676",
2019-08-30 ,"09:30:00	",1.2182,1.21972,1.21797,1.21898,"	5215",
2019-08-30 ,"10:00:00	",1.21899,1.21899,1.21691,1.21767,"	6399",
2019-08-30 ,"10:30:00	",1.21764,1.21816,1.21701,1.21758,"	5873",
2019-08-30 ,"11:00:00	",1.21759,1.21820,1.21712,1.21730,"	4852",
2019-08-30 ,"11:30:00	",1.2173,1.21872,1.21706,1.21849,"	5494",
2019-08-30 ,"12:00:00	",1.21849,1.21899,1.21779,1.21792,"	4837",
2019-08-30 ,"12:30:00	",1.2179,1.21906,1.21749,1.21891,"	6583",
2019-08-30 ,"13:00:00	",1.21892,1.22016,1.21847,1.21911,"	7190",
2019-08-30 ,"13:30:00	",1.2191,1.22135,1.21902,1.22096,"	6227",
2019-08-30 ,"14:00:00	",1.22096,1.22248,1.22091,1.22236,"	7567",
2019-08-30 ,"14:30:00	",1.22236,1.22255,1.21685,1.21822,"	10012",
2019-08-30 ,"15:00:00	",1.21824,1.21893,1.21651,1.21839,"	10230",
2019-08-30 ,"15:30:00	",1.21834,1.21851,1.21635,1.21647,"	5123",
2019-08-30 ,"16:00:00	",1.21648,1.21718,1.21640,1.21703,"	2490",
2019-08-30 ,"16:30:00	",1.21699,1.21738,1.21618,1.21650,"	3098",
2019-08-30 ,"17:00:00	",1.2165,1.21698,1.21521,1.21534,"	3878",
2019-08-30 ,"17:30:00	",1.21533,1.21552,1.21389,1.21483,"	4788",
2019-08-30 ,"18:00:00	",1.21484,1.21502,1.21429,1.21429,"	3453",
2019-08-30 ,"18:30:00	",1.21429,1.21560,1.21429,1.21534,"	3889",
2019-08-30 ,"19:00:00	",1.21535,1.21565,1.21510,1.21541,"	2838",
2019-08-30 ,"19:30:00	",1.21545,1.21704,1.21540,1.21689,"	4043",
2019-08-30 ,"20:00:00	",1.21688,1.21688,1.21640,1.21644,"	884",
2019-08-30 ,"20:30:00	",1.21643,1.21666,1.21579,1.21613,"	884",
2019-09-01 ,"21:00:00	",1.21472,1.21487,1.21381,1.21487,"	60",
2019-09-01 ,"21:30:00	",1.21459,1.21495,1.21407,1.21468,"	424",
2019-09-01 ,"22:00:00	",1.21468,1.21619,1.21454,1.21555,"	556",
2019-09-01 ,"22:30:00	",1.21553,1.21637,1.21553,1.21601,"	893",
2019-09-01 ,"23:00:00	",1.21598,1.21621,1.21585,1.21616,"	1219",
2019-09-01 ,"23:30:00	",1.21616,1.21637,1.21575,1.21578,"	2360",
2019-09-02 ,"00:00:00	",1.21579,1.21585,1.21536,1.21552,"	1514",
2019-09-02 ,"00:30:00	",1.21551,1.21563,1.21446,1.21482,"	2844",
2019-09-02 ,"01:00:00	",1.21483,1.21536,1.21475,1.21525,"	2402",
2019-09-02 ,"01:30:00	",1.21526,1.21611,1.21520,1.21584,"	1889",
2019-09-02 ,"02:00:00	",1.21583,1.21590,1.21490,1.21538,"	3394",
2019-09-02 ,"02:30:00	",1.21538,1.21557,1.21520,1.21545,"	1844",
2019-09-02 ,"03:00:00	",1.21545,1.21584,1.21540,1.21575,"	1467",
2019-09-02 ,"03:30:00	",1.21575,1.21596,1.21546,1.21596,"	1566",
2019-09-02 ,"04:00:00	",1.21596,1.21607,1.21572,1.21596,"	750",
2019-09-02 ,"04:30:00	",1.21596,1.21609,1.21584,1.21584,"	436",
2019-09-02 ,"05:00:00	",1.21585,1.21598,1.21570,1.21588,"	853",
2019-09-02 ,"05:30:00	",1.21587,1.21621,1.21586,1.21618,"	647",
2019-09-02 ,"06:00:00	",1.21625,1.21743,1.21625,1.21702,"	2477",
2019-09-02 ,"06:30:00	",1.21704,1.21706,1.21602,1.21607,"	3404",
2019-09-02 ,"07:00:00	",1.21606,1.21633,1.21517,1.21539,"	2966",
2019-09-02 ,"07:30:00	",1.2154,1.21540,1.21270,1.21279,"	5728",
2019-09-02 ,"08:00:00	",1.21278,1.21287,1.20932,1.20999,"	6463",
2019-09-02 ,"08:30:00	",1.20999,1.21083,1.20757,1.20839,"	7531",
2019-09-02 ,"09:00:00	",1.20839,1.20941,1.20758,1.20869,"	7814",
2019-09-02 ,"09:30:00	",1.20868,1.20875,1.20795,1.20840,"	5899",
2019-09-02 ,"10:00:00	",1.20839,1.20849,1.20739,1.20811,"	6055",
2019-09-02 ,"10:30:00	",1.20812,1.20821,1.20656,1.20740,"	5694",
2019-09-02 ,"11:00:00	",1.2074,1.20986,1.20715,1.20925,"	7744",
2019-09-02 ,"11:30:00	",1.20927,1.21002,1.20746,1.20776,"	5901",
2019-09-02 ,"12:00:00	",1.20775,1.20796,1.20660,1.20784,"	8331",
2019-09-02 ,"12:30:00	",1.20783,1.20785,1.20689,1.20710,"	4274",
2019-09-02 ,"13:00:00	",1.20708,1.20733,1.20514,1.20563,"	5571",
2019-09-02 ,"13:30:00	",1.20564,1.20693,1.20447,1.20691,"	6314",
2019-09-02 ,"14:00:00	",1.2069,1.20690,1.20442,1.20474,"	6930",
2019-09-02 ,"14:30:00	",1.20474,1.20641,1.20355,1.20615,"	9066",
2019-09-02 ,"15:00:00	",1.20616,1.20695,1.20576,1.20640,"	4989",
2019-09-02 ,"15:30:00	",1.20639,1.20734,1.20569,1.20640,"	2658",
2019-09-02 ,"16:00:00	",1.20637,1.20672,1.20515,1.20550,"	1761",
2019-09-02 ,"16:30:00	",1.20549,1.20769,1.20502,1.20759,"	2715",
2019-09-02 ,"17:00:00	",1.20758,1.20762,1.20556,1.20596,"	5818",
2019-09-02 ,"17:30:00	",1.20596,1.20639,1.20583,1.20622,"	1047",
2019-09-02 ,"18:00:00	",1.20626,1.20660,1.20613,1.20650,"	536",
